Company,Date,Hours (0),Context,Money (15120),Status,invoice,Billed Date
Ascot,5/12/25,8,,1080,Paid,004-1010,
Ascot,5/13/25,8,,1080,Paid,004-1010,
Ascot,5/14/25,8,,1080,Paid,004-1010,
Ascot,5/15/25,8,,1080,Paid,004-1010,
Ascot,5/16/25,8,,1080,Paid,004-1010,
Ascot,5/19/25,8,,1080,Paid,004-1010,
Ascot,5/20/25,8,,1080,Paid,004-1010,
Ascot,5/21/25,8,,1080,Paid,004-1010,
Ascot,5/22/25,8,,1080,Paid,004-1010,
Ascot,5/23/25,8,,1080,Paid,004-1010,
Ascot,5/27/25,8,,1080,Paid,004-1010,
Ascot,5/28/25,8,,1080,Paid,004-1010,
Ascot,5/29/25,8,,1080,Paid,004-1010,
Ascot,5/30/25,8,,1080,Paid,004-1010,
Ascot,6/4/25,8,,1080,Paid,004-1010,
Ascot,6/5/25,8,,1080,Paid,004-1010,
Ascot,6/6/25,8,,1080,Paid,004-1010,
Ascot,6/9/25,8,,1080,Paid,004-1010,
Ascot,6/10/25,8,,1080,Paid,004-1010,
Ascot,6/11/25,8,,1080,Paid,004-1010,
Ascot,6/12/25,8,,1080,Paid,004-1010,
Ascot,6/13/25,8,,1080,Paid,004-1010,
Ascot,6/16/25,8,,1080,Paid,004-1010,
Ascot,6/17/25,8,,1080,Paid,004-1010,
Ascot,6/18/25,8,,1080,Paid,004-1010,
Ascot,6/20/25,8,,1080,Paid,004-1010,
Ascot,6/23/25,8,,1080,Billed,004-1011,
Ascot,6/24/25,8,,1080,Billed,004-1011,
Ascot,6/25/25,8,,1080,Billed,004-1011,
Ascot,6/26/25,8,,1080,Billed,004-1011,
Ascot,6/27/25,8,,1080,Billed,004-1011,
Ascot,6/30/25,8,,1080,Billed,004-1011,
Ascot,7/1/25,8,,1080,Billed,004-1011,
Ascot,7/2/25,8,,1080,Billed,004-1011,
Ascot,7/3/25,8,,1080,Billed,004-1011,
Ascot,7/7/25,8,,1080,Billed,004-1011,
Ascot,7/8/25,8,,1080,Billed,004-1011,
Ascot,7/9/25,8,,1080,Billed,004-1011,
Ascot,7/10/25,8,,1080,Billed,004-1011,
Ascot,7/11/25,8,,1080,Billed,004-1011,